osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction
81396090,,,Mörikestraße,residential,,False,False,66.833,,"LINESTRING (10.3487776 48.8545473, 10.3484325 48.8551038)",
81396090,,,Mörikestraße,residential,,False,True,60.499,,"LINESTRING (10.3487776 48.8545473, 10.3489332 48.8542746, 10.3490516 48.8540341)",
81396091,,,Mörikestraße,residential,,False,False,44.794,,"LINESTRING (10.3487776 48.8545473, 10.3485925 48.8545093, 10.3481848 48.8544476)",
81396414,,,Gerokweg,residential,,False,False,64.649,,"LINESTRING (10.3513865 48.8542328, 10.3513275 48.8536527)",
81396415,,,Uhlandstraße,residential,,False,False,73.802,,"LINESTRING (10.3513865 48.8542328, 10.3517104 48.854206, 10.3519559 48.8541832, 10.3522354 48.8541589, 10.3523353 48.8541502, 10.3523865 48.8541458)",
81396415,,,Uhlandstraße,residential,,False,True,172.38899999999995,,"LINESTRING (10.3513865 48.8542328, 10.3503606 48.8541764, 10.3502024 48.8541592, 10.3496745 48.8541018, 10.349564 48.8540898, 10.3490516 48.8540341)",
858837784,,,Alte Kirchheimer Straße,residential,,False,False,57.62,,"LINESTRING (10.3561669 48.8618101, 10.3567901 48.862127)",
858837784,,,Alte Kirchheimer Straße,residential,,False,True,46.916,,"LINESTRING (10.3561669 48.8618101, 10.3558693 48.8616059, 10.3557329 48.8614997)",
47515269,,,Burgstallweg,residential,20,False,True,11.949,,"LINESTRING (10.3539068 48.8569707, 10.3540432 48.8569116)",
47515269,,,Burgstallweg,residential,20,False,False,191.46900000000002,,"LINESTRING (10.3539068 48.8569707, 10.3534603 48.8567339, 10.3534355 48.8567207, 10.3533563 48.8566912, 10.3532267 48.856643, 10.3529405 48.856567, 10.352509 48.8565387, 10.3522874 48.856552, 10.3521438 48.8565689, 10.3521093 48.856573, 10.3517834 48.8566114, 10.3514988 48.8566625)",
128198995,,,Birkenweg,residential,,False,True,76.497,,"LINESTRING (10.3567322 48.8614403, 10.3563222 48.8614417, 10.3558825 48.8614179, 10.3557329 48.8614997)",
753741867,,,Am Schwabhof,residential,,False,False,78.114,,"LINESTRING (10.3567322 48.8614403, 10.3568692 48.8614275, 10.3577614 48.8614906, 10.3577933 48.8614929)",
37053382,,,Sandbergweg,residential,30,False,True,30.169999999999998,,"LINESTRING (10.3460204 48.8570189, 10.3462902 48.8571203, 10.3463558 48.8571714)",
128199021,,,Alemannenweg,residential,,False,False,78.01599999999999,,"LINESTRING (10.3460204 48.8570189, 10.3460641 48.85696, 10.3461185 48.8567813, 10.3461864 48.8565579, 10.3461901 48.8565, 10.3462007 48.8563321)",
128199016,,,Birntorweg,residential,30,False,False,52.879,,"LINESTRING (10.3473053 48.8592156, 10.347237 48.8594051, 10.3471384 48.8596783)",
222159931,,,Birntorweg,residential,30,False,False,25.040999999999997,,"LINESTRING (10.3473053 48.8592156, 10.3471958 48.8591908, 10.3469706 48.8591749)",
