osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,name,bridge,width
224889707,residential,30,,False,False,119.74000000000001,"LINESTRING (6.5607277 50.5398301, 6.5606266 50.5398543, 6.5602467 50.5399557, 6.5599514 50.5399657, 6.5598828 50.5400009, 6.5599092 50.5400713, 6.5601333 50.5403646, 6.5601359 50.5404685)",,,Kleewiese,,
41162759,residential,,,False,True,143.00600000000003,"LINESTRING (6.560479 50.5374053, 6.5615949 50.5375538, 6.5616518 50.5375634, 6.5617024 50.5375819, 6.5617399 50.5376039, 6.5617829 50.5376353, 6.5618092 50.5376693, 6.5618694 50.5377739, 6.5619675 50.5379593, 6.5619758 50.5379892, 6.5619728 50.5380268)",,,Holunderweg,,
41162765,residential,,,False,False,78.041,"LINESTRING (6.5601806 50.538449, 6.5605013 50.538444, 6.5606357 50.5384251, 6.5607589 50.5383993, 6.5608283 50.5383967, 6.5609896 50.5383549, 6.5610124 50.5383359, 6.5612274 50.5382759)",,,Holunderweg,,
43157337,residential,,,False,False,91.757,"LINESTRING (6.5601806 50.538449, 6.5603017 50.5378363, 6.5603466 50.5376306)",,,Kropelspfad,,
43157337,residential,,,False,True,92.90199999999999,"LINESTRING (6.5601806 50.538449, 6.560152 50.5385422, 6.5600864 50.5388678, 6.5601073 50.538933, 6.5602607 50.5391331, 6.5603419 50.5392449)",,,Kropelspfad,,
43157337,residential,,,False,True,91.757,"LINESTRING (6.5603466 50.5376306, 6.5603017 50.5378363, 6.5601806 50.538449)",,,Kropelspfad,,
41162759,residential,,,False,False,143.006,"LINESTRING (6.5619728 50.5380268, 6.5619758 50.5379892, 6.5619675 50.5379593, 6.5618694 50.5377739, 6.5618092 50.5376693, 6.5617829 50.5376353, 6.5617399 50.5376039, 6.5617024 50.5375819, 6.5616518 50.5375634, 6.5615949 50.5375538, 6.560479 50.5374053)",,,Holunderweg,,
41162765,residential,,,False,False,39.414,"LINESTRING (6.5619728 50.5380268, 6.5621759 50.5380444, 6.5622785 50.5380408, 6.5625141 50.5379877)",,,Holunderweg,,
41162765,residential,,,False,True,61.39,"LINESTRING (6.5619728 50.5380268, 6.5619573 50.5380449, 6.5619274 50.5380693, 6.5618576 50.5381169, 6.5616825 50.5381621, 6.5616474 50.5381854, 6.5614845 50.5382259, 6.5613991 50.5382332, 6.5612274 50.5382759)",,,Holunderweg,,
41162765,residential,,,False,True,39.414,"LINESTRING (6.5625141 50.5379877, 6.5622785 50.5380408, 6.5621759 50.5380444, 6.5619728 50.5380268)",,,Holunderweg,,
390645652,residential,,,False,False,1.654,"LINESTRING (6.5518891 50.5411352, 6.5518687 50.5411279)",,,Auf dem Büchel,,
41497295,residential,,,False,False,105.242,"LINESTRING (6.5518891 50.5411352, 6.5514383 50.5414787, 6.5509422 50.5418657)",,,Grüner Weg,,
"[118154953, 390645652]",residential,,,False,True,32.73,"LINESTRING (6.5518891 50.5411352, 6.5521164 50.5412164, 6.5523029 50.5412664)",,,Auf dem Büchel,,
41497288,residential,30,,False,True,50.526,"LINESTRING (6.5521356 50.5407109, 6.5521273 50.5407835, 6.5518687 50.5411279)",,,Büchel-Eck,,
41497293,residential,30,,False,True,19.014,"LINESTRING (6.5522267 50.5414304, 6.5523029 50.5412664)",,,Im Fleschengarten,,
91833427,residential,30,,False,False,90.987,"LINESTRING (6.5522267 50.5414304, 6.5533706 50.541806)",,,Leiengarten,,
41497293,residential,30,,False,False,119.012,"LINESTRING (6.5522267 50.5414304, 6.5520401 50.5416427, 6.5519441 50.5417451, 6.5518384 50.5418289, 6.5515504 50.5420511, 6.5514708 50.5421126, 6.5512294 50.542288)",,,Im Fleschengarten,,
196295749,residential,,,False,False,51.156,"LINESTRING (6.5512294 50.542288, 6.5509422 50.5418657)",,,,,
41497293,residential,30,,False,False,80.829,"LINESTRING (6.5512294 50.542288, 6.5514025 50.5425465, 6.551468 50.5426378, 6.5515395 50.5427407, 6.5515804 50.5427639, 6.5517171 50.5427355, 6.5518256 50.5427171, 6.5518781 50.5427294)",,,Im Fleschengarten,,
41497293,residential,30,,False,True,119.01200000000003,"LINESTRING (6.5512294 50.542288, 6.5514708 50.5421126, 6.5515504 50.5420511, 6.5518384 50.5418289, 6.5519441 50.5417451, 6.5520401 50.5416427, 6.5522267 50.5414304)",,,Im Fleschengarten,,
41497293,residential,30,,False,True,80.829,"LINESTRING (6.5518781 50.5427294, 6.5518256 50.5427171, 6.5517171 50.5427355, 6.5515804 50.5427639, 6.5515395 50.5427407, 6.551468 50.5426378, 6.5514025 50.5425465, 6.5512294 50.542288)",,,Im Fleschengarten,,
57034859,residential,30,,False,False,151.129,"LINESTRING (6.5518781 50.5427294, 6.5525032 50.5424241, 6.5528418 50.5422801, 6.5531427 50.5421747, 6.5536819 50.5420085)",,,Eisenauerstraße,,
57034859,residential,30,,False,True,121.047,"LINESTRING (6.5518781 50.5427294, 6.55157 50.5428921, 6.5514055 50.5429839, 6.5512588 50.5430953, 6.550885 50.5433597, 6.5506757 50.5435012)",,,Eisenauerstraße,,
41497295,residential,,,False,False,104.60399999999998,"LINESTRING (6.5489146 50.5434583, 6.5488932 50.5435505, 6.5488751 50.5436839, 6.5487732 50.5442575, 6.5487786 50.5443436, 6.5488262 50.5443837)",,,Grüner Weg,,
41497295,residential,,,False,True,228.036,"LINESTRING (6.5489146 50.5434583, 6.5489813 50.5433783, 6.5490804 50.5432872, 6.549395 50.5430475, 6.5509422 50.5418657)",,,Grüner Weg,,
41497295,residential,,,False,True,104.604,"LINESTRING (6.5488262 50.5443837, 6.5487786 50.5443436, 6.5487732 50.5442575, 6.5488751 50.5436839, 6.5488932 50.5435505, 6.5489146 50.5434583)",,,Grüner Weg,,
57034859,residential,30,,False,False,164.398,"LINESTRING (6.5488262 50.5443837, 6.5490283 50.5442774, 6.549124 50.544231, 6.5493281 50.5441541, 6.5499786 50.5439144, 6.5502943 50.5437485, 6.5506757 50.5435012)",,,Eisenauerstraße,,
"[43157339, 43157340]",residential,,,False,True,79.275,"LINESTRING (6.5606772 50.5412853, 6.5610358 50.5413263, 6.5613815 50.5413343, 6.5615704 50.5412788, 6.5616874 50.5412491, 6.5617648 50.5412504)",,,,,
51138569,residential,30,,False,False,116.629,"LINESTRING (6.5542307 50.5380373, 6.553249 50.5371942)",,,Am Hammerwerk,,
111788102,secondary,50,,False,False,66.815,"LINESTRING (6.5542307 50.5380373, 6.5537997 50.5382387, 6.5534678 50.5383922)",2,L 105,Hindenburgstraße,,
111788102,secondary,50,,False,True,38.11,"LINESTRING (6.5542307 50.5380373, 6.5544634 50.5379294, 6.5545456 50.5378974, 6.5546778 50.5378462)",2,L 105,Hindenburgstraße,,
57034861,residential,30,,False,True,152.91299999999998,"LINESTRING (6.5546309 50.5439124, 6.5547932 50.5437491, 6.5548674 50.5436295, 6.5549133 50.5434795, 6.5549058 50.543389, 6.5548613 50.5433174, 6.5547011 50.5432341, 6.5545809 50.5431683, 6.5544123 50.5430862, 6.5541831 50.542974, 6.5539613 50.5428591)",,,Uferstraße,,
111788115,residential,50,,False,False,53.445,"LINESTRING (6.5539613 50.5428591, 6.5544238 50.5424788)",,,Auelstraße,,
57034861,residential,30,,False,False,152.913,"LINESTRING (6.5539613 50.5428591, 6.5541831 50.542974, 6.5544123 50.5430862, 6.5545809 50.5431683, 6.5547011 50.5432341, 6.5548613 50.5433174, 6.5549058 50.543389, 6.5549133 50.5434795, 6.5548674 50.5436295, 6.5547932 50.5437491, 6.5546309 50.5439124)",,,Uferstraße,,
111788115,residential,50,,False,True,218.355,"LINESTRING (6.5539613 50.5428591, 6.5534701 50.5432468, 6.5526262 50.543913, 6.5520196 50.5443867)",,,Auelstraße,,
815646724,secondary,50,,False,True,215.749,"LINESTRING (6.5490274 50.5390964, 6.5499551 50.5393405, 6.5505266 50.5394908, 6.5513501 50.5397039, 6.5516617 50.5397764, 6.5517534 50.5397966, 6.5518638 50.5397834)",2,L 105,Aachener Straße,,
