osmid,highway,oneway,reversed,length,ref,geometry,name
175787438,tertiary,False,True,16.061,,"LINESTRING (73.892788 25.055756, 73.8928259 25.0558963)",
175787438,tertiary,False,False,104.75,,"LINESTRING (73.892788 25.055756, 73.8925664 25.0549865, 73.8925198 25.0549258, 73.8924737 25.0548661)",
524116677,residential,False,False,200.209,,"LINESTRING (73.8867163 25.0582345, 73.8860717 25.0565313)",
894928325,primary,False,False,39.86,SH12,"LINESTRING (73.8867163 25.0582345, 73.8870937 25.0581267)",
894928325,primary,False,True,68.873,SH12,"LINESTRING (73.8867163 25.0582345, 73.8864827 25.058308, 73.8861104 25.0584058, 73.8860635 25.0584181)",
524116677,residential,False,True,200.209,,"LINESTRING (73.8860717 25.0565313, 73.8867163 25.0582345)",
524116679,residential,False,False,156.31,,"LINESTRING (73.887725 25.0564416, 73.8882985 25.0577478)",
894928327,unclassified,False,False,56.816,,"LINESTRING (73.887725 25.0564416, 73.8876431 25.0564609, 73.8873977 25.0565226, 73.8871848 25.0565878)",
894928327,unclassified,False,True,55.598,,"LINESTRING (73.887725 25.0564416, 73.8879674 25.0563845, 73.8882028 25.0563213, 73.8882563 25.0563064)",
524116679,residential,False,True,156.31,,"LINESTRING (73.8882985 25.0577478, 73.887725 25.0564416)",
894928325,primary,False,True,44.464,SH12,"LINESTRING (73.8882985 25.0577478, 73.8878792 25.0578728)",
894928325,primary,False,False,42.929,SH12,"LINESTRING (73.8882985 25.0577478, 73.8883831 25.0577226, 73.8887022 25.0576241)",
524116681,residential,False,False,193.382,,"LINESTRING (73.8877658 25.0551874, 73.8886041 25.0548933, 73.8895951 25.0546715)",Kamal Tlai Gali No .1
520458311,tertiary,False,True,71.156,,"LINESTRING (73.8895951 25.0546715, 73.8897012 25.0552391, 73.8897161 25.0553019)",Kamal Tlai Road
524116681,residential,False,True,193.382,,"LINESTRING (73.8895951 25.0546715, 73.8886041 25.0548933, 73.8877658 25.0551874)",Kamal Tlai Gali No .1
139088703,secondary,False,True,21.853,,"LINESTRING (73.8851048 25.0552511, 73.8850575 25.0550593)",
139088703,secondary,False,False,365.33500000000004,,"LINESTRING (73.8851048 25.0552511, 73.8854092 25.056232, 73.8859689 25.0583037, 73.8859836 25.0584368)",
520458311,tertiary,False,True,113.736,,"LINESTRING (73.8897161 25.0553019, 73.8899529 25.056302)",Kamal Tlai Road
520458311,tertiary,False,False,71.156,,"LINESTRING (73.8897161 25.0553019, 73.8897012 25.0552391, 73.8895951 25.0546715)",Kamal Tlai Road
894928323,tertiary,False,False,263.339,,"LINESTRING (73.8897161 25.0553019, 73.892166 25.0548249, 73.8922622 25.0547796)",
894928323,tertiary,False,False,28.090999999999998,,"LINESTRING (73.8922622 25.0547796, 73.8922816 25.0548327, 73.8923148 25.0548649, 73.8923764 25.0548856, 73.8924326 25.054886, 73.8924737 25.0548661)",
894928323,tertiary,False,True,263.339,,"LINESTRING (73.8922622 25.0547796, 73.892166 25.0548249, 73.8897161 25.0553019)",
894928324,tertiary,False,False,22.358999999999998,,"LINESTRING (73.8922622 25.0547796, 73.8922664 25.0547334, 73.8922788 25.0547089, 73.8922946 25.0546815, 73.8923326 25.0546536, 73.8923906 25.054653)",
175787438,tertiary,False,False,26.512999999999998,,"LINESTRING (73.8924737 25.0548661, 73.892506 25.0548321, 73.8925275 25.0547809, 73.8925269 25.0547271, 73.8925148 25.0546875, 73.8924815 25.0546556)",
175787438,tertiary,False,True,104.75,,"LINESTRING (73.8924737 25.0548661, 73.8925198 25.0549258, 73.8925664 25.0549865, 73.892788 25.055756)",
894928323,tertiary,False,True,28.091,,"LINESTRING (73.8924737 25.0548661, 73.8924326 25.054886, 73.8923764 25.0548856, 73.8923148 25.0548649, 73.8922816 25.0548327, 73.8922622 25.0547796)",
520458311,tertiary,False,False,113.736,,"LINESTRING (73.8899529 25.056302, 73.8897161 25.0553019)",Kamal Tlai Road
520458311,tertiary,False,True,119.99,,"LINESTRING (73.8899529 25.056302, 73.8902027 25.0573571)",Kamal Tlai Road
"[894928326, 894928327]","['residential', 'unclassified']",False,False,201.23499999999999,,"LINESTRING (73.8899529 25.056302, 73.8894124 25.0564278, 73.8893861 25.0563078, 73.8891438 25.0563583, 73.8890024 25.056376, 73.8888778 25.0563592, 73.8888321 25.0562652, 73.8888097 25.0561811, 73.8887462 25.0561678, 73.8885248 25.0562316, 73.8882563 25.0563064)",
894928327,unclassified,False,True,56.816,,"LINESTRING (73.8871848 25.0565878, 73.8873977 25.0565226, 73.8876431 25.0564609, 73.887725 25.0564416)",
894928325,primary,False,False,154.56799999999998,SH12,"LINESTRING (73.8887022 25.0576241, 73.8888044 25.0575925, 73.8892974 25.0575101, 73.8894695 25.0574937, 73.8898431 25.057458, 73.8902027 25.0573571)",
894928325,primary,False,True,42.929,SH12,"LINESTRING (73.8887022 25.0576241, 73.8883831 25.0577226, 73.8882985 25.0577478)",
894928328,unclassified,False,False,153.354,,"LINESTRING (73.8887022 25.0576241, 73.8885995 25.0572525, 73.8885029 25.0569776, 73.8883972 25.056715, 73.8882563 25.0563064)",
894928327,unclassified,False,False,55.598,,"LINESTRING (73.8882563 25.0563064, 73.8882028 25.0563213, 73.8879674 25.0563845, 73.887725 25.0564416)",
"[894928326, 894928327]","['unclassified', 'residential']",False,True,201.23499999999999,,"LINESTRING (73.8882563 25.0563064, 73.8885248 25.0562316, 73.8887462 25.0561678, 73.8888097 25.0561811, 73.8888321 25.0562652, 73.8888778 25.0563592, 73.8890024 25.056376, 73.8891438 25.0563583, 73.8893861 25.0563078, 73.8894124 25.0564278, 73.8899529 25.056302)",
894928328,unclassified,False,True,153.354,,"LINESTRING (73.8882563 25.0563064, 73.8883972 25.056715, 73.8885029 25.0569776, 73.8885995 25.0572525, 73.8887022 25.0576241)",
894928329,living_street,False,False,120.095,,"LINESTRING (73.8904188 25.0572903, 73.8901542 25.0562372)",
894928325,primary,False,False,178.957,SH12,"LINESTRING (73.8904188 25.0572903, 73.8911667 25.0570119, 73.8920796 25.0567202)",
894928325,primary,False,True,23.02,SH12,"LINESTRING (73.8904188 25.0572903, 73.890351 25.0573155, 73.8902027 25.0573571)",
894928329,living_street,False,True,120.095,,"LINESTRING (73.8901542 25.0562372, 73.8904188 25.0572903)",
520446663,tertiary,False,False,68.648,,"LINESTRING (73.885131 25.0594685, 73.8848408 25.0589099)",Jain Temple Road
520446663,tertiary,False,True,32.539,,"LINESTRING (73.885131 25.0594685, 73.8852685 25.0597333)",Jain Temple Road
895030564,residential,False,False,19.864,,"LINESTRING (73.885131 25.0594685, 73.8853122 25.059398)",
895030564,residential,False,True,19.864,,"LINESTRING (73.8853122 25.059398, 73.885131 25.0594685)",
895030564,residential,False,False,90.222,,"LINESTRING (73.8853122 25.059398, 73.8853297 25.0593076, 73.8853297 25.0591742, 73.8853636 25.0590495, 73.8854143 25.0589685, 73.8855688 25.0588635, 73.8856885 25.0588092, 73.8857604 25.0587882)",
895030565,residential,False,False,180.70900000000003,,"LINESTRING (73.8853122 25.059398, 73.8856678 25.059359, 73.8859622 25.0592967, 73.8862737 25.0592519, 73.8864815 25.0592189, 73.8866152 25.0591905, 73.8867317 25.0591654, 73.8869171 25.0591526, 73.8870806 25.0591398)",
894928325,primary,False,True,8.313,SH12,"LINESTRING (73.8860635 25.0584181, 73.8859836 25.0584368)",
894928325,primary,False,False,68.87299999999999,SH12,"LINESTRING (73.8860635 25.0584181, 73.8861104 25.0584058, 73.8864827 25.058308, 73.8867163 25.0582345)",
895030564,residential,False,True,51.336,,"LINESTRING (73.8860635 25.0584181, 73.886026 25.0584791, 73.8858596 25.0586642, 73.8857604 25.0587882)",
895030565,residential,False,False,80.386,,"LINESTRING (73.8870806 25.0591398, 73.8871972 25.0591371, 73.8872923 25.059136, 73.8873878 25.0591143, 73.8874837 25.059071, 73.8876166 25.0590041, 73.8878102 25.0588939)",
895030565,residential,False,True,180.709,,"LINESTRING (73.8870806 25.0591398, 73.8869171 25.0591526, 73.8867317 25.0591654, 73.8866152 25.0591905, 73.8864815 25.0592189, 73.8862737 25.0592519, 73.8859622 25.0592967, 73.8856678 25.059359, 73.8853122 25.059398)",
992406615,residential,False,True,34.260000000000005,,"LINESTRING (73.8870806 25.0591398, 73.887117 25.0593104, 73.8871624 25.0594383)",
895030566,residential,False,True,23.807,,"LINESTRING (73.8878102 25.0588939, 73.8876824 25.0587138)",
895030565,residential,False,True,80.386,,"LINESTRING (73.8878102 25.0588939, 73.8876166 25.0590041, 73.8874837 25.059071, 73.8873878 25.0591143, 73.8872923 25.059136, 73.8871972 25.0591371, 73.8870806 25.0591398)",
895030566,residential,False,False,97.391,,"LINESTRING (73.8878102 25.0588939, 73.8878736 25.0589761, 73.8879646 25.0590952, 73.8880438 25.0592688, 73.8880562 25.0593589, 73.8880542 25.0594718, 73.8880685 25.0596326, 73.888092 25.0597075)",
895030566,residential,False,False,14.42,,"LINESTRING (73.8883319 25.0598817, 73.8884747 25.0598909)",
