osmid,highway,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes
387917639,residential,False,False,160.13799999999998,"LINESTRING (93.7032662 24.3444289, 93.7027703 24.3451208, 93.7023846 24.3452221, 93.7021473 24.3453438)",,,,
387917639,residential,False,True,164.87,"LINESTRING (93.7032662 24.3444289, 93.7033513 24.3442859, 93.7019968 24.3438173)",,,,
387917698,residential,False,True,104.5,"LINESTRING (93.7032662 24.3444289, 93.7038329 24.3446701, 93.7042388 24.3446613)",,,,
387917691,residential,False,False,99.016,"LINESTRING (93.7013612 24.3371719, 93.7023327 24.3372689)",,,,
1191619601,residential,False,True,77.18299999999999,"LINESTRING (93.7013612 24.3371719, 93.7012416 24.3373882, 93.7010938 24.3376489, 93.7010461 24.3377032, 93.7009485 24.337705)",,,,
676861476,tertiary,False,True,23.778,"LINESTRING (93.7015536 24.341499, 93.7013189 24.3414991)",Nehru Marg,40,,2
1192160451,residential,False,False,141.964,"LINESTRING (93.7015536 24.341499, 93.7017216 24.3402315)",,,,
676861476,tertiary,False,False,210.416,"LINESTRING (93.7015536 24.341499, 93.7016134 24.341499, 93.7028883 24.3415286, 93.7036121 24.3416767)",Nehru Marg,40,,2
1192160451,residential,False,True,141.964,"LINESTRING (93.7017216 24.3402315, 93.7015536 24.341499)",,,,
1192493012,living_street,False,False,52.68600000000001,"LINESTRING (93.7074165 24.3425407, 93.7071923 24.3423322, 93.7070636 24.3421931)",,,,
1192493012,living_street,False,False,112.03399999999999,"LINESTRING (93.7070636 24.3421931, 93.7069778 24.3420281, 93.706911 24.3418326, 93.7068681 24.3416284, 93.7069062 24.3414329, 93.7069755 24.3412287)",,,,
1192493012,living_street,False,True,52.68600000000001,"LINESTRING (93.7070636 24.3421931, 93.7071923 24.3423322, 93.7074165 24.3425407)",,,,
1192493013,living_street,False,False,188.42600000000002,"LINESTRING (93.7070636 24.3421931, 93.7069682 24.3426232, 93.7069253 24.3428361, 93.7067775 24.3430533, 93.7066201 24.3434096, 93.7065391 24.3436876, 93.7064962 24.3437926)",,,,
1192493012,living_street,False,True,141.101,"LINESTRING (93.7072209 24.3399796, 93.7069755 24.3412287)",,,,
