osmid,name,highway,oneway,reversed,length,ref,geometry,junction
1180001430,Rua Carlos Miguel de Oliveira,residential,False,True,84.216,,"LINESTRING (-46.7888108 -22.8822604, -46.7889803 -22.8815193)",
"[222531296, 1180001431]",Rotatória José Plaibam,residential,True,False,47.533,,"LINESTRING (-46.7888108 -22.8822604, -46.7889443 -22.8822982, -46.7889996 -22.8823293, -46.7890438 -22.8824207, -46.7890426 -22.8824837, -46.7890063 -22.882552)",roundabout
222531447,Rua Sebastião de O Cunha,residential,False,True,53.553,,"LINESTRING (-46.7913843 -22.8822939, -46.7913729 -22.8818124)",
222531397,Rua Maria Alves,residential,False,False,136.826,,"LINESTRING (-46.7913843 -22.8822939, -46.7904515 -22.8823107, -46.7903871 -22.8823089, -46.7903394 -22.8822982, -46.7900759 -22.8821886)",
222531447,Rua Sebastião de O Cunha,residential,False,False,145.539,,"LINESTRING (-46.7913843 -22.8822939, -46.7914089 -22.8832073, -46.791189 -22.8835466)",
222531298,Rua 13 de Maio,residential,False,True,65.734,,"LINESTRING (-46.7954491 -22.8823513, -46.7960855 -22.8824268)",
222531298,Rua 13 de Maio,residential,False,False,79.397,,"LINESTRING (-46.7954491 -22.8823513, -46.7951388 -22.88229, -46.7946913 -22.8822016)",
1180001429,Rua Estér Mirim Stela,residential,False,True,80.352,,"LINESTRING (-46.7954491 -22.8823513, -46.7954177 -22.8824697, -46.7954284 -22.8826227, -46.7955949 -22.883043)",
222531298,Rua 13 de Maio,residential,False,False,65.734,,"LINESTRING (-46.7960855 -22.8824268, -46.7954491 -22.8823513)",
"[1180001442, 222531434]","['Avenida Paulo Gomes', 'Rua José Bovolenta']",residential,False,"[False, True]",148.58700000000002,,"LINESTRING (-46.7960855 -22.8824268, -46.7967242 -22.8818546, -46.7966502 -22.8817478, -46.7965143 -22.8816833, -46.7962524 -22.8816262)",
624408231,Rua Valentim Gesuato,residential,False,False,70.299,,"LINESTRING (-46.7960855 -22.8824268, -46.7960365 -22.8825148, -46.7960462 -22.8826391, -46.7962001 -22.8830224)",
1180001431,Rotatória José Plaibam,residential,True,False,9.04,,"LINESTRING (-46.7890063 -22.882552, -46.7889343 -22.882599)",roundabout
222531291,Avenida José Fabian,residential,True,False,265.38,,"LINESTRING (-46.7890063 -22.882552, -46.7892051 -22.8827884, -46.7894229 -22.8829486, -46.7898007 -22.8831991, -46.7904527 -22.8835386, -46.7906372 -22.883601, -46.7907353 -22.8836278, -46.79082 -22.883625, -46.7909662 -22.8835558, -46.7910264 -22.883542, -46.7910775 -22.8835409, -46.791189 -22.8835466)",
804281105,Rua Doutor Ramiro Guimarães,residential,False,True,287.01099999999997,,"LINESTRING (-46.7887382 -22.882564, -46.7883342 -22.8829382, -46.7881476 -22.8830762, -46.787243 -22.8833758, -46.7870988 -22.8834539, -46.7869404 -22.8835442, -46.7868337 -22.8836628, -46.7867877 -22.8838183, -46.7868029 -22.8839617, -46.7868597 -22.8841153)",
1180001432,Rotatória José Plaibam,residential,True,False,45.44,,"LINESTRING (-46.7887382 -22.882564, -46.7886692 -22.8825103, -46.7886566 -22.8824174, -46.7886676 -22.8823474, -46.788729 -22.8822914, -46.7888108 -22.8822604)",roundabout
1180001431,Rotatória José Plaibam,residential,True,False,21.234,,"LINESTRING (-46.7889343 -22.882599, -46.7888793 -22.8826091, -46.7888146 -22.8825998, -46.7887382 -22.882564)",roundabout
222531374,Rua Joaquim Pelissom,residential,False,True,135.018,,"LINESTRING (-46.7945731 -22.8828838, -46.7932714 -22.8826936)",
1180001425,Rua Felício Brognara,residential,False,True,112.954,,"LINESTRING (-46.7945731 -22.8828838, -46.7944119 -22.8838887)",
1180001426,Rua Joaquim Pelissom,residential,False,False,73.088,,"LINESTRING (-46.7945731 -22.8828838, -46.7952799 -22.8829733)",
1180001428,Rua Felício Brognara,residential,False,False,76.818,,"LINESTRING (-46.7945731 -22.8828838, -46.7946913 -22.8822016)",
222531348,Rua Luiz Pavanelli,residential,False,True,87.037,,"LINESTRING (-46.7952799 -22.8829733, -46.7951533 -22.8837473)",
1180001426,Rua Joaquim Pelissom,residential,False,False,33.188,,"LINESTRING (-46.7952799 -22.8829733, -46.7955949 -22.883043)",
1180001426,Rua Joaquim Pelissom,residential,False,True,73.088,,"LINESTRING (-46.7952799 -22.8829733, -46.7945731 -22.8828838)",
624408231,Rua Valentim Gesuato,residential,False,False,73.567,,"LINESTRING (-46.7962001 -22.8830224, -46.796483 -22.8836305)",
624408231,Rua Valentim Gesuato,residential,False,True,70.299,,"LINESTRING (-46.7962001 -22.8830224, -46.7960462 -22.8826391, -46.7960365 -22.8825148, -46.7960855 -22.8824268)",
1180001426,Rua Joaquim Pelissom,residential,False,True,33.188,,"LINESTRING (-46.7955949 -22.883043, -46.7952799 -22.8829733)",
1180001429,Rua Estér Mirim Stela,residential,False,False,80.35199999999999,,"LINESTRING (-46.7955949 -22.883043, -46.7954284 -22.8826227, -46.7954177 -22.8824697, -46.7954491 -22.8823513)",
1180001433,Avenida José Fabian,residential,True,False,73.381,,"LINESTRING (-46.7894349 -22.8830647, -46.7891251 -22.8828308, -46.7889343 -22.882599)",
"[1180001434, 1180001435, 222531299]",Avenida Iracema de Campos,residential,False,False,312.89399999999995,,"LINESTRING (-46.7894349 -22.8830647, -46.7888345 -22.8837039, -46.7886904 -22.8838055, -46.7874163 -22.8842429, -46.7872826 -22.8842612, -46.7871058 -22.8842432, -46.7869802 -22.8841809, -46.7868597 -22.8841153)",
222531408,Rua Cinco,residential,False,False,23.305,,"LINESTRING (-46.7940736 -22.8831142, -46.7940311 -22.8833201)",
