osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,access,geometry
658616116,False,2,Rua João Pomárico,residential,40,True,75.272,,,"LINESTRING (-44.9955722 -21.2445699, -44.995831 -21.2452024)"
129848467,False,2,Avenida Padre Dehon,secondary,40,True,306.822,,,"LINESTRING (-44.9955722 -21.2445699, -44.9975481 -21.2435555, -44.9982043 -21.2433161)"
129929349,True,1,Rua Barbosa Lima,residential,30,False,44.912,,yes,"LINESTRING (-45.0011928 -21.2450815, -45.0015099 -21.2448062)"
658555481,True,2,Rua Firmino Sales,secondary,40,False,174.789,,,"LINESTRING (-45.0011928 -21.2450815, -45.0022307 -21.2463205)"
658586103,True,1,Rua Professor Azarias Ribeiro,secondary,40,False,119.638,,,"LINESTRING (-45.0022307 -21.2463205, -45.0012922 -21.246947)"
399756219,True,2,Rua Lourenço Menicucci,secondary,40,False,95.223,,,"LINESTRING (-45.0022307 -21.2463205, -45.0025244 -21.2466056, -45.0026101 -21.2466915, -45.0028463 -21.2469556)"
367011026,True,2,Rua Santana,secondary,40,False,130.338,MG-335,,"LINESTRING (-44.9986204 -21.2387782, -44.9989337 -21.2399134)"
367011017,False,2,Rua Desembargador Alberto Luz,residential,30,True,30.135,,,"LINESTRING (-44.9981499 -21.2389028, -44.9978638 -21.2389511)"
367011023,True,1,Praça Dona Josefina,tertiary,40,False,76.736,,,"LINESTRING (-44.9981499 -21.2389028, -44.9980188 -21.2382236)"
367011024,True,1,Rua Desembargador Alberto Luz,residential,30,False,50.694,,,"LINESTRING (-44.9981499 -21.2389028, -44.9986204 -21.2387782)"
129929368,True,2,Rua Comendador José Esteves,secondary,40,False,16.446,MG-335,,"LINESTRING (-44.9972051 -21.2389274, -44.9971992 -21.2387796)"
129929791,True,1,Rua Desembargador Alberto Luz,residential,30,False,68.32,,,"LINESTRING (-44.9972051 -21.2389274, -44.9978638 -21.2389511)"
662451953,False,2,Rua Doutor Delfino de Souza,tertiary,40,True,29.576,,,"LINESTRING (-45.0030432 -21.2400349, -45.0033231 -21.2399831)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,False,24.775,,,"LINESTRING (-45.0030432 -21.2400349, -45.0028079 -21.2400742)"
662451952,False,2,Rua Pedro Gomide do Nascimento,residential,30,True,25.326999999999998,,,"LINESTRING (-45.0030432 -21.2400349, -45.0031125 -21.2400684, -45.0032588 -21.2401421)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,False,52.563,,,"LINESTRING (-45.0028079 -21.2400742, -45.0023086 -21.2401571)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,True,24.775,,,"LINESTRING (-45.0028079 -21.2400742, -45.0030432 -21.2400349)"
129929767,False,2,Rua Fernando Haddad,residential,30,False,290.674,,,"LINESTRING (-45.0028079 -21.2400742, -45.0029588 -21.241037, -45.0030964 -21.2414648, -45.0030954 -21.2416194, -45.0030574 -21.2417912, -45.0027034 -21.2425902)"
662451940,False,2,Rua Nicolau Cherem,residential,30,False,113.67,,,"LINESTRING (-45.0023086 -21.2401571, -45.0024258 -21.2411735)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,False,52.779,,,"LINESTRING (-45.0023086 -21.2401571, -45.0018079 -21.2402437)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,True,52.563,,,"LINESTRING (-45.0023086 -21.2401571, -45.0028079 -21.2400742)"
129929771,False,2,Rua Platina,residential,30,True,110.265,,,"LINESTRING (-45.0018079 -21.2402437, -45.0019317 -21.2412286)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,False,52.255,,,"LINESTRING (-45.0018079 -21.2402437, -45.0013112 -21.2403244)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,True,52.779,,,"LINESTRING (-45.0018079 -21.2402437, -45.0023086 -21.2401571)"
403551286,False,2,Travessa do Ouro,residential,30,False,112.809,,,"LINESTRING (-45.0013112 -21.2403244, -45.0010908 -21.2393309)"
662398317,False,2,Rua Doutor Hélio Andrade,residential,30,True,105.843,,,"LINESTRING (-45.0013112 -21.2403244, -45.0014699 -21.2412647)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,False,45.523,,,"LINESTRING (-45.0013112 -21.2403244, -45.0008837 -21.2404184)"
662451954,False,2,Rua Doutor Delfino de Souza,tertiary,40,True,52.255,,,"LINESTRING (-45.0013112 -21.2403244, -45.0018079 -21.2402437)"
662451940,False,2,Rua Nicolau Cherem,residential,30,True,113.67,,,"LINESTRING (-45.0024258 -21.2411735, -45.0023086 -21.2401571)"
662451943,False,2,Rua Juca Procópio,residential,40,False,51.574,,,"LINESTRING (-45.0024258 -21.2411735, -45.0019317 -21.2412286)"
"[436270241, 662451943]",False,2,"['Travessa Guadalupe', 'Rua Juca Procópio']",residential,"['40', '30']",True,217.284,,,"LINESTRING (-45.0024258 -21.2411735, -45.0027936 -21.2411546, -45.0025277 -21.2418048, -45.001554 -21.2419207)"
129929771,False,2,Rua Platina,residential,30,False,110.265,,,"LINESTRING (-45.0019317 -21.2412286, -45.0018079 -21.2402437)"
662451943,False,2,Rua Juca Procópio,residential,40,False,48.029,,,"LINESTRING (-45.0019317 -21.2412286, -45.0014699 -21.2412647)"
662451943,False,2,Rua Juca Procópio,residential,40,True,51.574,,,"LINESTRING (-45.0019317 -21.2412286, -45.0024258 -21.2411735)"
458598430,True,1,Rua Juca Procópio,residential,30,False,154.032,,,"LINESTRING (-45.0014699 -21.2412647, -44.9999879 -21.2413689)"
662398317,False,2,Rua Doutor Hélio Andrade,residential,30,False,105.843,,,"LINESTRING (-45.0014699 -21.2412647, -45.0013112 -21.2403244)"
662398317,False,2,Rua Doutor Hélio Andrade,residential,30,True,73.463,,,"LINESTRING (-45.0014699 -21.2412647, -45.001554 -21.2419207)"
662451943,False,2,Rua Juca Procópio,residential,40,True,48.029,,,"LINESTRING (-45.0014699 -21.2412647, -45.0019317 -21.2412286)"
399756215,True,2,Rua Firmino Sales,secondary,40,False,84.126,,,"LINESTRING (-44.9999879 -21.2413689, -45.000052 -21.2421231)"
662398317,False,2,Rua Doutor Hélio Andrade,residential,30,False,73.463,,,"LINESTRING (-45.001554 -21.2419207, -45.0014699 -21.2412647)"
"[436270241, 662451943]",False,2,"['Travessa Guadalupe', 'Rua Juca Procópio']",residential,"['40', '30']",False,217.284,,,"LINESTRING (-45.001554 -21.2419207, -45.0025277 -21.2418048, -45.0027936 -21.2411546, -45.0024258 -21.2411735)"
399756215,True,2,Rua Firmino Sales,secondary,40,False,50.776,,,"LINESTRING (-45.000052 -21.2421231, -45.000112 -21.2425763)"
662398319,True,1,Travessa Guadalupe,residential,30,False,68.676,,,"LINESTRING (-45.000052 -21.2421231, -45.000709 -21.2420427)"
129929767,False,2,Rua Fernando Haddad,residential,30,False,27.64,,,"LINESTRING (-45.0027034 -21.2425902, -45.0026071 -21.242822)"
