osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,ref
88302976,False,residential,False,8.462,Travessa Manoel Soares,"LINESTRING (-42.7294761 -10.8259921, -42.7294186 -10.8260431)",,,
88302976,False,residential,True,72.537,Travessa Manoel Soares,"LINESTRING (-42.7294761 -10.8259921, -42.729997 -10.8255874)",,,
88302978,False,residential,False,43.291,Rua Castro Alves,"LINESTRING (-42.7301286 -10.8238921, -42.7298907 -10.8235807)",,,
88302978,False,residential,True,148.075,Rua Castro Alves,"LINESTRING (-42.7301286 -10.8238921, -42.7309006 -10.8249868)",,,
88302991,False,residential,False,51.209,Travessa Adão Bastos,"LINESTRING (-42.7301286 -10.8238921, -42.7297381 -10.824147)",,,
88302991,False,residential,True,51.985,Travessa Adão Bastos,"LINESTRING (-42.7301286 -10.8238921, -42.7305301 -10.823641)",,,
88302980,False,residential,False,147.54,Rua 24 de Outubro,"LINESTRING (-42.7297381 -10.824147, -42.730497 -10.8252447)",,,
88302980,False,residential,True,42.805,Rua 24 de Outubro,"LINESTRING (-42.7297381 -10.824147, -42.7295153 -10.8238303)",,,
88302991,False,residential,False,43.613,Travessa Adão Bastos,"LINESTRING (-42.7297381 -10.824147, -42.7294062 -10.8243651)",,,
88302991,False,residential,True,51.209,Travessa Adão Bastos,"LINESTRING (-42.7297381 -10.824147, -42.7301286 -10.8238921)",,,
88302986,False,residential,False,94.866,Rua João Guimarães,"LINESTRING (-42.7273011 -10.8228715, -42.7265391 -10.823281)",,,
88302986,False,residential,True,51.371,Rua João Guimarães,"LINESTRING (-42.7273011 -10.8228715, -42.7277132 -10.8226488)",,,
248767376,False,primary,True,107.133,Rua Rosa Baraúna,"LINESTRING (-42.7273011 -10.8228715, -42.7267871 -10.8220509)",,,
248767376,False,primary,False,151.825,Rua Rosa Baraúna,"LINESTRING (-42.7273011 -10.8228715, -42.7277928 -10.8236556, -42.7280375 -10.8240295)",,,
88302986,False,residential,False,19.228,Rua João Guimarães,"LINESTRING (-42.7237813 -10.8249052, -42.7236527 -10.8250233)",,,
