osmid,oneway,lanes,ref,highway,reversed,length,geometry,name
491419203,False,,,residential,False,52.92,"LINESTRING (-39.7017204 -12.7107369, -39.7012383 -12.7108099)",
491419195,False,,,residential,False,110.96,"LINESTRING (-39.7012383 -12.7108099, -39.7013869 -12.7117972)",
491419195,False,,,residential,True,45.77,"LINESTRING (-39.7012383 -12.7108099, -39.7011802 -12.7104022)",
491419203,False,,,residential,False,50.766,"LINESTRING (-39.7012383 -12.7108099, -39.7007734 -12.7108625)",
491419203,False,,,residential,True,52.92,"LINESTRING (-39.7012383 -12.7108099, -39.7017204 -12.7107369)",
491419201,False,,,residential,True,29.698,"LINESTRING (-39.7007734 -12.7108625, -39.7007313 -12.7105986)",
491419203,False,,,residential,True,50.766,"LINESTRING (-39.7007734 -12.7108625, -39.7012383 -12.7108099)",
222241271,False,,,residential,True,13.196,"LINESTRING (-39.6994317 -12.7100163, -39.6993126 -12.7100405)",Rua São Geraldo
491419204,False,,,residential,False,125.976,"LINESTRING (-39.6994317 -12.7100163, -39.6996358 -12.7111316)",
222241271,False,,,residential,False,129.37800000000001,"LINESTRING (-39.6994317 -12.7100163, -39.6996452 -12.7099673, -39.7001401 -12.7098914, -39.7006072 -12.7098223)",Rua São Geraldo
491419204,False,,,residential,True,125.976,"LINESTRING (-39.6996358 -12.7111316, -39.6994317 -12.7100163)",
491419205,False,,,residential,True,75.259,"LINESTRING (-39.6996358 -12.7111316, -39.7003227 -12.7110362)",
491419204,False,,,residential,False,60.188,"LINESTRING (-39.6996358 -12.7111316, -39.6997203 -12.7114364, -39.6997951 -12.7116498)",
491419170,False,,,residential,False,52.582,"LINESTRING (-39.6997951 -12.7116498, -39.6997245 -12.7116982, -39.6996224 -12.7117452, -39.6995191 -12.7117805, -39.6993434 -12.7117923)",
491419204,False,,,residential,True,60.188,"LINESTRING (-39.6997951 -12.7116498, -39.6997203 -12.7114364, -39.6996358 -12.7111316)",
491419202,False,,,residential,True,37.452,"LINESTRING (-39.7003227 -12.7110362, -39.7002774 -12.7107023)",
491419205,False,,,residential,False,75.259,"LINESTRING (-39.7003227 -12.7110362, -39.6996358 -12.7111316)",
491419201,False,,,residential,False,27.459,"LINESTRING (-39.7006923 -12.7103546, -39.7007313 -12.7105986)",
491419201,False,,,residential,True,59.905,"LINESTRING (-39.7006923 -12.7103546, -39.7006072 -12.7098223)",
"[491419202, 491419206]",False,,,residential,False,78.105,"LINESTRING (-39.7006923 -12.7103546, -39.7004583 -12.7103917, -39.7003093 -12.7104171, -39.7002701 -12.7104336, -39.700238 -12.7104807, -39.7002393 -12.7105187, -39.7002612 -12.7106343, -39.7002774 -12.7107023)",
491419201,False,,,residential,False,29.698,"LINESTRING (-39.7007313 -12.7105986, -39.7007734 -12.7108625)",
491419201,False,,,residential,True,27.459,"LINESTRING (-39.7007313 -12.7105986, -39.7006923 -12.7103546)",
491419208,False,,,residential,False,50.567,"LINESTRING (-39.7007313 -12.7105986, -39.7002774 -12.7107023)",
491419202,False,,,residential,False,37.452,"LINESTRING (-39.7002774 -12.7107023, -39.7003227 -12.7110362)",
491419208,False,,,residential,True,50.567,"LINESTRING (-39.7002774 -12.7107023, -39.7007313 -12.7105986)",
"[491419202, 491419206]",False,,,residential,True,78.105,"LINESTRING (-39.7002774 -12.7107023, -39.7002612 -12.7106343, -39.7002393 -12.7105187, -39.700238 -12.7104807, -39.7002701 -12.7104336, -39.7003093 -12.7104171, -39.7004583 -12.7103917, -39.7006923 -12.7103546)",
221145205,False,2,,tertiary,False,22.008,"LINESTRING (-39.6970457 -12.7077876, -39.6972484 -12.7077789)",Rua da Linha
505082127,True,,,tertiary,False,48.183,"LINESTRING (-39.6970457 -12.7077876, -39.6970841 -12.7073559)",
221145205,False,2,,tertiary,True,82.499,"LINESTRING (-39.6970457 -12.7077876, -39.6964782 -12.707842, -39.6963729 -12.7078499, -39.6962882 -12.7078513)",Rua da Linha
221145202,False,,,residential,True,15.028,"LINESTRING (-39.6970841 -12.7073559, -39.6972218 -12.7073708)",
505082127,True,,,tertiary,False,48.698,"LINESTRING (-39.6970841 -12.7073559, -39.6970637 -12.7069184)",
221145202,False,,,residential,False,151.432,"LINESTRING (-39.6970841 -12.7073559, -39.6964487 -12.7072343, -39.6957113 -12.7071088)",
221145190,False,,,residential,False,140.386,"LINESTRING (-39.6970637 -12.7069184, -39.6957752 -12.7067999)",
221145190,False,,,residential,True,14.015,"LINESTRING (-39.6970637 -12.7069184, -39.6971923 -12.7069306)",
505082127,True,,,tertiary,False,51.415,"LINESTRING (-39.6970637 -12.7069184, -39.6970156 -12.7064584)",
180957533,True,2,BA-493,primary,False,78.809,"LINESTRING (-39.6970156 -12.7064584, -39.6962934 -12.7063811)",
222241271,False,,,residential,False,13.196,"LINESTRING (-39.6993126 -12.7100405, -39.6994317 -12.7100163)",Rua São Geraldo
222241271,False,,,residential,True,66.621,"LINESTRING (-39.6993126 -12.7100405, -39.6987034 -12.7101167)",Rua São Geraldo
505082129,False,,,residential,False,245.67399999999998,"LINESTRING (-39.6993126 -12.7100405, -39.6992938 -12.7097318, -39.6992911 -12.7093393, -39.6993166 -12.7091535, -39.6993957 -12.7089678, -39.6994574 -12.708867, -39.699495 -12.708727, -39.6995232 -12.7085216, -39.69955 -12.7082168, -39.6995352 -12.7080625, -39.6995042 -12.7078761)",
221146199,False,2,,tertiary,True,14.477,"LINESTRING (-39.6977713 -12.711192, -39.6979046 -12.7111856)",
814556583,True,,,tertiary,False,59.769,"LINESTRING (-39.6977713 -12.711192, -39.697745 -12.7106551)",Avenida Teotônio Vilela
221146199,False,2,,tertiary,False,88.35,"LINESTRING (-39.6977713 -12.711192, -39.6976235 -12.7112029, -39.6975202 -12.7112192, -39.6974183 -12.7112506, -39.6973217 -12.7112997, -39.6972366 -12.7113677, -39.6971548 -12.7114233, -39.6970911 -12.7114626, -39.6970352 -12.7114859)",
221145213,False,,,residential,False,63.088,"LINESTRING (-39.6977199 -12.7101431, -39.69714 -12.7100995)",
221145213,False,,,residential,True,13.875,"LINESTRING (-39.6977199 -12.7101431, -39.6978472 -12.7101553)",
814556583,True,,,tertiary,False,61.204,"LINESTRING (-39.6977199 -12.7101431, -39.6976932 -12.7095933)",Avenida Teotônio Vilela
221145208,False,,,residential,True,15.793,"LINESTRING (-39.6976781 -12.7092814, -39.6978148 -12.7092325)",
814556583,True,,,tertiary,False,34.585,"LINESTRING (-39.6976781 -12.7092814, -39.6976739 -12.7089704)",Avenida Teotônio Vilela
221145208,False,,,residential,False,134.787,"LINESTRING (-39.6976781 -12.7092814, -39.6971333 -12.7094557, -39.696503 -12.7096752)",
505087997,False,,,residential,False,16.931,"LINESTRING (-39.7015759 -12.7067001, -39.7015603 -12.7068516)",
180957533,True,2,BA-493,primary,False,89.19,"LINESTRING (-39.7015603 -12.7068516, -39.7007421 -12.7067722)",
505087997,False,,,residential,False,72.357,"LINESTRING (-39.7015603 -12.7068516, -39.701492 -12.7074989)",
505087997,False,,,residential,True,16.931,"LINESTRING (-39.7015603 -12.7068516, -39.7015759 -12.7067001)",
