osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes
503138724,,Rua Mário Lima,residential,False,False,112.898,"LINESTRING (-44.4863314 -20.3921878, -44.4861566 -20.3921572, -44.4852586 -20.3920491)",,,
419808738,,Rua Mário Lima,secondary,False,False,12.995,"LINESTRING (-44.4865066 -20.3922108, -44.4866307 -20.3921995)",,,
419808737,,Praça Antônio Ferreira de Morais,secondary,True,False,27.335,"LINESTRING (-44.4865066 -20.3922108, -44.4865144 -20.3922407, -44.4865121 -20.3922713, -44.4864995 -20.3922997, -44.4864782 -20.392323, -44.48645 -20.3923387, -44.486418 -20.3923455, -44.4863855 -20.3923426, -44.4863554 -20.3923302)",,roundabout,
419808730,,Rua Leandro Gomes,residential,False,False,72.397,"LINESTRING (-44.4917848 -20.3898789, -44.4912495 -20.3902938)",,,
477894958,,Rua Padre Geraldo Rodrigues Costa,tertiary,False,False,73.68,"LINESTRING (-44.4917848 -20.3898789, -44.4918523 -20.3900313, -44.4919627 -20.3902592, -44.492091 -20.3904753)",,,2
477894958,,Rua Padre Geraldo Rodrigues Costa,tertiary,False,True,72.86500000000001,"LINESTRING (-44.4917848 -20.3898789, -44.4917499 -20.3897554, -44.4917297 -20.3896307, -44.4915629 -20.389261)",,,2
477894958,,Rua Padre Geraldo Rodrigues Costa,tertiary,False,False,72.865,"LINESTRING (-44.4915629 -20.389261, -44.4917297 -20.3896307, -44.4917499 -20.3897554, -44.4917848 -20.3898789)",,,2
503138720,,Rua Professora Diva Rodrigues,residential,False,False,90.203,"LINESTRING (-44.4915629 -20.389261, -44.4912387 -20.3892982, -44.4907023 -20.389346)",,,
419808732,,Rua Antônio de Morais Lara,residential,False,True,119.833,"LINESTRING (-44.4907023 -20.389346, -44.4912495 -20.3902938)",,,
503138720,,Rua Professora Diva Rodrigues,residential,False,False,167.171,"LINESTRING (-44.4907023 -20.389346, -44.4901969 -20.3894183, -44.4900686 -20.389426, -44.4899282 -20.389425, -44.4891105 -20.3893322)",,,
503138720,,Rua Professora Diva Rodrigues,residential,False,True,90.203,"LINESTRING (-44.4907023 -20.389346, -44.4912387 -20.3892982, -44.4915629 -20.389261)",,,
419808728,,Avenida Doutor Antônio Geraldo de Oliveira,secondary,True,False,26.449,"LINESTRING (-44.4884497 -20.3901875, -44.4881997 -20.3901467)",,,
467330570,,Rua Tenente Ulísses,residential,False,False,77.621,"LINESTRING (-44.4884497 -20.3901875, -44.4884926 -20.3908844)",,,
467330572,,Rua Pedro Batista Silveira,residential,False,False,105.587,"LINESTRING (-44.4859152 -20.3890329, -44.4865117 -20.3882654)",,,
1056287018,,Rua Antônio Pacheco,tertiary,False,True,42.483,"LINESTRING (-44.4859152 -20.3890329, -44.4863152 -20.3891063)",,,
1056287019,,Rua Antônio Pacheco,tertiary,False,False,56.888,"LINESTRING (-44.4859152 -20.3890329, -44.4853722 -20.3889811)",,,
