osmid,oneway,name,highway,reversed,length,maxspeed,geometry
423793530,False,,residential,False,119.644,,"LINESTRING (-38.3613382 -11.7888124, -38.3613302 -11.788198, -38.3613329 -11.7880103, -38.3613127 -11.7877372)"
424243765,False,,residential,False,166.738,,"LINESTRING (-38.3613382 -11.7888124, -38.3608682 -11.7887776, -38.3608293 -11.7887632, -38.3608152 -11.7887408, -38.3608072 -11.7887054, -38.3607985 -11.7877706)"
424243774,False,,residential,True,21.874,,"LINESTRING (-38.3637656 -11.7886483, -38.363952 -11.7885748)"
403526702,False,,residential,True,23.466,,"LINESTRING (-38.3637656 -11.7886483, -38.3637656 -11.7885485, -38.3637629 -11.7885013, -38.3637522 -11.7884382)"
424243774,False,,residential,False,214.86700000000002,,"LINESTRING (-38.3637656 -11.7886483, -38.3635631 -11.788731, -38.3633445 -11.7888386, -38.363142 -11.7889279, -38.3629972 -11.7889699, -38.362501 -11.7890776, -38.3618894 -11.7892194)"
424243772,False,,residential,False,53.055,,"LINESTRING (-38.3591348 -11.7934755, -38.3592974 -11.7939253)"
424388936,False,,residential,True,52.788,,"LINESTRING (-38.3591348 -11.7934755, -38.3596095 -11.7933783)"
"[363782026, 424243772]",False,Rua Albertina Leal da Rocha,residential,"[False, True]",164.71699999999998,40,"LINESTRING (-38.3591348 -11.7934755, -38.3587653 -11.7926058, -38.3587506 -11.7925841, -38.3587311 -11.7925677, -38.3587043 -11.7925618, -38.3586869 -11.7925664, -38.3582671 -11.7927337)"
424243765,False,,residential,False,73.393,,"LINESTRING (-38.3625586 -11.788647, -38.3619069 -11.7888163)"
424243775,False,,residential,False,174.968,,"LINESTRING (-38.3621118 -11.7942885, -38.3626785 -11.795761)"
424243775,False,,residential,True,23.369,,"LINESTRING (-38.3621118 -11.7942885, -38.3620407 -11.7940902)"
424243794,False,,residential,True,33.661,,"LINESTRING (-38.3621118 -11.7942885, -38.3623733 -11.7941269)"
424336689,False,,residential,True,22.844,,"LINESTRING (-38.3609721 -11.7911663, -38.3610546 -11.7909774)"
423793490,False,,residential,True,130.397,,"LINESTRING (-38.3609721 -11.7911663, -38.3611465 -11.7912752, -38.3613154 -11.7913973, -38.3616091 -11.7916402, -38.3616896 -11.7917045, -38.36188 -11.7918095, -38.3619447 -11.7918451)"
424336689,False,,residential,False,69.339,,"LINESTRING (-38.3609721 -11.7911663, -38.3608943 -11.7913487, -38.3608353 -11.7914826, -38.3607079 -11.7917334)"
424390716,False,,residential,True,144.64999999999998,,"LINESTRING (-38.3609721 -11.7911663, -38.3607173 -11.7910494, -38.360201 -11.7907921, -38.3597906 -11.7905716)"
423793526,False,,residential,False,57.176,,"LINESTRING (-38.3617835 -11.7924055, -38.3622153 -11.7926983)"
423793526,False,,residential,True,20.893,,"LINESTRING (-38.3617835 -11.7924055, -38.3616225 -11.7923032)"
423793532,False,,residential,False,201.935,,"LINESTRING (-38.3617835 -11.7924055, -38.3619082 -11.7927876, -38.3621 -11.793293, -38.3623733 -11.7941269)"
381988083,False,,residential,False,50.929,,"LINESTRING (-38.3599234 -11.7877346, -38.3600226 -11.7881822)"
424336709,False,,residential,False,72.806,,"LINESTRING (-38.3599234 -11.7877346, -38.3603821 -11.787778, -38.3605901 -11.7877746)"
