osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,junction
436801550,,Rua Jonas Goulart,residential,False,True,67.346,"LINESTRING (-49.123506 -28.6392153, -49.1236049 -28.6386159)",,,,
668378176,SC-443,Rodovia Flávio Flores Lopes,primary,False,False,46.373,"LINESTRING (-49.123506 -28.6392153, -49.1235851 -28.6392775, -49.1237754 -28.639427, -49.12386 -28.6394935)",2,80,,
325525838,,Rua 27 de Setembro,secondary,False,True,22.886,"LINESTRING (-49.1285311 -28.6381499, -49.1283102 -28.638219)",2,50,,
325525838,,Rua 27 de Setembro,secondary,False,False,112.679,"LINESTRING (-49.1285311 -28.6381499, -49.1290274 -28.6379751, -49.1292904 -28.6378752, -49.1295974 -28.6377614)",2,50,,
436801551,,Rua Gregório Duarte,residential,False,False,144.857,"LINESTRING (-49.1285311 -28.6381499, -49.1286627 -28.6383962, -49.1286574 -28.6386412, -49.129112 -28.639318)",,,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,False,188.94099999999997,"LINESTRING (-49.1294687 -28.6400987, -49.1295719 -28.640034, -49.1297302 -28.6399198, -49.1299219 -28.6397809, -49.1300976 -28.6396244, -49.1302371 -28.6394808, -49.1303967 -28.6392913, -49.1305348 -28.6390641, -49.1307038 -28.6388169)",2,80,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,True,449.08199999999994,"LINESTRING (-49.1294687 -28.6400987, -49.1291723 -28.6402541, -49.1289161 -28.6403788, -49.128719 -28.6404765, -49.1284239 -28.6405883, -49.1281275 -28.6406931, -49.127854 -28.6407837, -49.1276166 -28.6408508, -49.1273712 -28.6409156, -49.1271231 -28.6409615, -49.126891 -28.6409991, -49.1266309 -28.6410309, -49.1264176 -28.6410497, -49.1262836 -28.6410631, -49.1260289 -28.6410688, -49.1258331 -28.6410637, -49.1256514 -28.6410439, -49.1254616 -28.6410029, -49.1252871 -28.6409382, -49.1251262 -28.6408712)",2,80,,
436801552,,Servidão Maria Amenar Felisbino,residential,False,True,122.038,"LINESTRING (-49.1294687 -28.6400987, -49.1292648 -28.6399252, -49.1291889 -28.6398622, -49.1289082 -28.6396834, -49.1288792 -28.6396475, -49.1288694 -28.6396011, -49.1288844 -28.6395589, -49.1290796 -28.6393844, -49.129112 -28.639318)",,,,
436801551,,Rua Gregório Duarte,residential,False,True,144.857,"LINESTRING (-49.129112 -28.639318, -49.1286574 -28.6386412, -49.1286627 -28.6383962, -49.1285311 -28.6381499)",,,,
436801552,,Servidão Maria Amenar Felisbino,residential,False,False,122.03800000000001,"LINESTRING (-49.129112 -28.639318, -49.1290796 -28.6393844, -49.1288844 -28.6395589, -49.1288694 -28.6396011, -49.1288792 -28.6396475, -49.1289082 -28.6396834, -49.1291889 -28.6398622, -49.1292648 -28.6399252, -49.1294687 -28.6400987)",,,,
436801552,,Servidão Maria Amenar Felisbino,residential,False,True,152.163,"LINESTRING (-49.129112 -28.639318, -49.129385 -28.639046, -49.1297011 -28.6387597, -49.1297919 -28.6386888, -49.1299209 -28.6385902, -49.1299533 -28.6385058, -49.1300004 -28.6384557, -49.1301714 -28.6383289)",,,,
325525838,,Rua 27 de Setembro,secondary,False,False,54.671,"LINESTRING (-49.1303348 -28.6373853, -49.1308329 -28.6371603)",2,50,,
325525838,,Rua 27 de Setembro,secondary,False,True,83.234,"LINESTRING (-49.1303348 -28.6373853, -49.1295974 -28.6377614)",2,50,,
436801553,,Rua Pedro Souza Brasil,residential,False,True,132.649,"LINESTRING (-49.1303348 -28.6373853, -49.1305507 -28.6377749, -49.1306309 -28.6379094, -49.1307022 -28.6380122, -49.1310471 -28.6383944)",,,,
325525838,,Rua 27 de Setembro,secondary,False,False,22.886,"LINESTRING (-49.1283102 -28.638219, -49.1285311 -28.6381499)",2,50,,
436801554,,Rua Gustavo Vieira de Souza,residential,False,False,214.93,"LINESTRING (-49.1283102 -28.638219, -49.1273561 -28.6364769)",,,,
325525838,,Rua 27 de Setembro,secondary,False,True,183.84199999999998,"LINESTRING (-49.1283102 -28.638219, -49.1281044 -28.6382821, -49.1279031 -28.6383523, -49.1270252 -28.6386192, -49.1268394 -28.6386852, -49.1266994 -28.6387391, -49.1265528 -28.6388089)",2,50,,
325525838,,Rua 27 de Setembro,secondary,False,True,28.552999999999997,"LINESTRING (-49.131125 -28.6371602, -49.131011 -28.6371553, -49.1309341 -28.637154, -49.1308939 -28.6371548, -49.1308329 -28.6371603)",2,50,,
325525838,,Rua 27 de Setembro,secondary,False,True,54.671,"LINESTRING (-49.1308329 -28.6371603, -49.1303348 -28.6373853)",2,50,,
325525838,,Rua 27 de Setembro,secondary,False,False,28.553,"LINESTRING (-49.1308329 -28.6371603, -49.1308939 -28.6371548, -49.1309341 -28.637154, -49.131011 -28.6371553, -49.131125 -28.6371602)",2,50,,
941832258,,Rua José Silveira Goulart,tertiary,True,False,38.558,"LINESTRING (-49.1308329 -28.6371603, -49.130936 -28.6370841, -49.1310161 -28.6370227, -49.131134 -28.6369358)",,,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,False,449.082,"LINESTRING (-49.1251262 -28.6408712, -49.1252871 -28.6409382, -49.1254616 -28.6410029, -49.1256514 -28.6410439, -49.1258331 -28.6410637, -49.1260289 -28.6410688, -49.1262836 -28.6410631, -49.1264176 -28.6410497, -49.1266309 -28.6410309, -49.126891 -28.6409991, -49.1271231 -28.6409615, -49.1273712 -28.6409156, -49.1276166 -28.6408508, -49.127854 -28.6407837, -49.1281275 -28.6406931, -49.1284239 -28.6405883, -49.128719 -28.6404765, -49.1289161 -28.6403788, -49.1291723 -28.6402541, -49.1294687 -28.6400987)",2,80,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,True,30.184,"LINESTRING (-49.1251262 -28.6408712, -49.1250175 -28.6407832, -49.1249079 -28.6406792)",2,80,,
476994962,,Rua Martinho Luiz Inácio,unclassified,False,True,45.168,"LINESTRING (-49.1251262 -28.6408712, -49.1250632 -28.6409765, -49.1250269 -28.641262)",,,,
476994962,,Rua Martinho Luiz Inácio,unclassified,False,False,45.168,"LINESTRING (-49.1250269 -28.641262, -49.1250632 -28.6409765, -49.1251262 -28.6408712)",,,,
476994962,,Rua Martinho Luiz Inácio,unclassified,False,True,285.74299999999994,"LINESTRING (-49.1250269 -28.641262, -49.1249276 -28.642022, -49.124751 -28.6434222, -49.1247189 -28.6436128, -49.1247236 -28.6438161)",,,,
476994963,,Rua João Aires de Souza,unclassified,False,True,530.254,"LINESTRING (-49.1250269 -28.641262, -49.1254252 -28.6414523, -49.1256973 -28.6415714, -49.1258411 -28.6416214, -49.1260713 -28.641693, -49.1262559 -28.6417558, -49.1265241 -28.6418678, -49.1271016 -28.6420925, -49.1273779 -28.6421844, -49.1276569 -28.642255, -49.1278499 -28.6422526, -49.1280833 -28.6421844, -49.1282241 -28.6421714, -49.1284199 -28.6422032, -49.1285326 -28.6422785, -49.128723 -28.6424139, -49.1289175 -28.642548, -49.1290838 -28.6426705, -49.1291428 -28.6427623, -49.1291642 -28.6428917, -49.1292219 -28.6429718, -49.1293211 -28.6430317, -49.1294927 -28.6431083, -49.1297114 -28.6432027)",,,,
479304791,,Rua João Manoel da Silva,unclassified,False,False,12.818,"LINESTRING (-49.12978 -28.643301, -49.1297114 -28.6432027)",,,,
479304791,,Rua João Manoel da Silva,unclassified,False,True,12.818,"LINESTRING (-49.1297114 -28.6432027, -49.12978 -28.643301)",,,,
476994963,,Rua João Aires de Souza,unclassified,False,False,530.254,"LINESTRING (-49.1297114 -28.6432027, -49.1294927 -28.6431083, -49.1293211 -28.6430317, -49.1292219 -28.6429718, -49.1291642 -28.6428917, -49.1291428 -28.6427623, -49.1290838 -28.6426705, -49.1289175 -28.642548, -49.128723 -28.6424139, -49.1285326 -28.6422785, -49.1284199 -28.6422032, -49.1282241 -28.6421714, -49.1280833 -28.6421844, -49.1278499 -28.6422526, -49.1276569 -28.642255, -49.1273779 -28.6421844, -49.1271016 -28.6420925, -49.1265241 -28.6418678, -49.1262559 -28.6417558, -49.1260713 -28.641693, -49.1258411 -28.6416214, -49.1256973 -28.6415714, -49.1254252 -28.6414523, -49.1250269 -28.641262)",,,,
479304791,,Rua João Manoel da Silva,unclassified,False,False,486.198,"LINESTRING (-49.1297114 -28.6432027, -49.1297452 -28.6431209, -49.1297717 -28.6430316, -49.1297982 -28.6429434, -49.1298502 -28.6428144, -49.1299104 -28.642634, -49.1299778 -28.642398, -49.1300064 -28.6421969, -49.1301035 -28.6417666, -49.1301126 -28.6415262, -49.1301102 -28.6412063, -49.1301137 -28.6410589, -49.1301644 -28.640824, -49.1308139 -28.6392464, -49.1307942 -28.6389788)",,,,
693916409,,,residential,False,False,121.19099999999999,"LINESTRING (-49.1236904 -28.641021, -49.1244921 -28.6402742, -49.1245497 -28.6402352)",,,,
693916410,,,residential,False,False,30.707,"LINESTRING (-49.1235745 -28.6423844, -49.1233414 -28.6421989)",,,,
693916411,,Rua Aledúcio de Aguiar,residential,False,True,205.406,"LINESTRING (-49.1219181 -28.6435598, -49.1233414 -28.6421989)",,,,
693916410,,,residential,False,True,30.707,"LINESTRING (-49.1233414 -28.6421989, -49.1235745 -28.6423844)",,,,
693916411,,Rua Aledúcio de Aguiar,residential,False,False,205.406,"LINESTRING (-49.1233414 -28.6421989, -49.1219181 -28.6435598)",,,,
