osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge
287979716,True,1,Rua Conceição Monteiro Bento,tertiary,False,68.278,"LINESTRING (-52.6763179 -31.3979019, -52.6770253 -31.3977903)",,
636928069,False,2,Rua Conceição Monteiro Bento,tertiary,True,53.417,"LINESTRING (-52.6763179 -31.3979019, -52.6757661 -31.3979964)",,
287418884,True,2,Rua Silva Tavares,tertiary,False,94.095,"LINESTRING (-52.6763179 -31.3979019, -52.6762156 -31.3972657, -52.676181 -31.3970638)",,
287979717,True,,Rua Conceição Monteiro Bento,tertiary,False,59.359,"LINESTRING (-52.6782161 -31.3975968, -52.6788291 -31.397491)",,
308036178,False,2,Rua General Câmara,secondary,False,121.45600000000002,"LINESTRING (-52.6782161 -31.3975968, -52.6783089 -31.3979767, -52.6784619 -31.3986027, -52.678476 -31.3986663)",,
308038185,False,2,Rua General Câmara,secondary,True,95.914,"LINESTRING (-52.6782161 -31.3975968, -52.6781882 -31.3974814, -52.6780166 -31.3967512)",,
308036180,False,2,Rua Dom Otaviano,tertiary,False,94.539,"LINESTRING (-52.6788291 -31.397491, -52.6786159 -31.3966605)",,
308036181,False,2,Rua Conceição Monteiro Bento,residential,False,53.246,"LINESTRING (-52.6788291 -31.397491, -52.6793709 -31.3973668)",,
322208350,False,2,Rua Dom Otaviano,tertiary,True,123.809,"LINESTRING (-52.6788291 -31.397491, -52.6790803 -31.3985836)",,
308036181,False,2,Rua Conceição Monteiro Bento,residential,True,53.246,"LINESTRING (-52.6793709 -31.3973668, -52.6788291 -31.397491)",,
333297556,False,,Rua Almirante Barroso,residential,False,92.77,"LINESTRING (-52.6793709 -31.3973668, -52.6792113 -31.3965437)",,
333297557,False,,Rua Conceição Monteiro Bento,residential,False,73.746,"LINESTRING (-52.6793709 -31.3973668, -52.6801313 -31.3972305)",,
287979405,False,2,Rua Almirante Barroso,residential,True,128.364,"LINESTRING (-52.6793709 -31.3973668, -52.6796365 -31.3982848, -52.6796747 -31.3983976, -52.679725 -31.3984783)",,
333297557,False,,Rua Conceição Monteiro Bento,residential,True,73.746,"LINESTRING (-52.6801313 -31.3972305, -52.6793709 -31.3973668)",,
346546492,False,,Rua Jesus Moreira Bento,residential,False,91.013,"LINESTRING (-52.6801313 -31.3972305, -52.6799999 -31.3965872, -52.6799771 -31.3965082, -52.6799396 -31.3964304)",,
346546492,False,,Rua Jesus Moreira Bento,residential,True,130.291,"LINESTRING (-52.6801313 -31.3972305, -52.680252 -31.3976117, -52.6803339 -31.3978292, -52.6803701 -31.3979929, -52.6804438 -31.3983695)",,
287980206,False,,Rua Professor André Puente,residential,False,12.68,"LINESTRING (-52.680071 -31.3964098, -52.6799396 -31.3964304)",,
287980206,False,,Rua Professor André Puente,residential,False,57.985,"LINESTRING (-52.6792113 -31.3965437, -52.6786159 -31.3966605)",,
287980206,False,,Rua Professor André Puente,residential,True,70.265,"LINESTRING (-52.6792113 -31.3965437, -52.6799396 -31.3964304)",,
333297556,False,,Rua Almirante Barroso,residential,False,94.105,"LINESTRING (-52.6792113 -31.3965437, -52.6789807 -31.3957206)",,
333297556,False,,Rua Almirante Barroso,residential,True,92.77,"LINESTRING (-52.6792113 -31.3965437, -52.6793709 -31.3973668)",,
287980206,False,,Rua Professor André Puente,residential,True,57.985,"LINESTRING (-52.6786159 -31.3966605, -52.6792113 -31.3965437)",,
308036180,False,2,Rua Dom Otaviano,tertiary,True,94.539,"LINESTRING (-52.6786159 -31.3966605, -52.6788291 -31.397491)",,
308036183,True,,Rua Professor André Puente,residential,False,57.769,"LINESTRING (-52.6786159 -31.3966605, -52.6780166 -31.3967512)",,
308036184,False,,Rua Dom Otaviano,tertiary,False,94.863,"LINESTRING (-52.6786159 -31.3966605, -52.678406 -31.3958264)",,
308038185,False,2,Rua General Câmara,secondary,True,93.879,"LINESTRING (-52.6780166 -31.3967512, -52.6778251 -31.3959229)",,
