osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry
"[1214608603, 337183023]",False,2,Juan Verdaguer,primary,50,False,90.543,T-34,"LINESTRING (-72.9503073 -39.6625112, -72.9505869 -39.6625938, -72.9507735 -39.6626489, -72.9508634 -39.6626754, -72.9509563 -39.6627028, -72.9510217 -39.6627221, -72.951137 -39.6627562, -72.9512949 -39.6628028)"
337183023,False,2,Juan Verdaguer,primary,50,True,25.432,T-34,"LINESTRING (-72.9515723 -39.6628847, -72.9512949 -39.6628028)"
337183290,False,2,Ruta T-34,primary,50,False,61.781,T-34,"LINESTRING (-72.9515723 -39.6628847, -72.9518422 -39.6623694)"
1214608604,False,2,Arturo Prat,secondary,50,True,153.479,,"LINESTRING (-72.9515723 -39.6628847, -72.951551 -39.6629308, -72.9509895 -39.6641465, -72.9509716 -39.6641852)"
361417776,False,2,Arturo Prat,residential,50,True,20.085,,"LINESTRING (-72.9520443 -39.662264, -72.9518101 -39.662275)"
337183290,False,2,Ruta T-34,primary,50,False,330.313,T-34,"LINESTRING (-72.9520443 -39.662264, -72.9525168 -39.6622206, -72.9545181 -39.6620129, -72.9546082 -39.6620035, -72.9553154 -39.6619301, -72.9554363 -39.6619271, -72.9555572 -39.6619305, -72.9556775 -39.6619404, -72.9557741 -39.6619531, -72.9558697 -39.66197)"
337183290,False,2,Ruta T-34,primary,50,True,21.046000000000003,T-34,"LINESTRING (-72.9520443 -39.662264, -72.9519814 -39.6622869, -72.9519225 -39.6623155, -72.9518807 -39.662341, -72.9518422 -39.6623694)"
162097448,False,2,Darío Salas,residential,50,False,61.093,,"LINESTRING (-72.9540286 -39.6691096, -72.9540343 -39.6685602)"
162097448,False,2,Darío Salas,residential,50,True,60.257,,"LINESTRING (-72.9540286 -39.6691096, -72.9540267 -39.6696515)"
162097451,False,2,Los Notros,residential,50,True,120.31400000000001,,"LINESTRING (-72.9540286 -39.6691096, -72.953979 -39.6691084, -72.9526869 -39.6690777, -72.9526236 -39.6690762)"
162097447,False,1,Quesquechan,living_street,30,True,56.958,,"LINESTRING (-72.9498024 -39.6675742, -72.9504097 -39.6677836)"
162097444,False,2,Chacabuco,residential,50,False,61.028,,"LINESTRING (-72.9526236 -39.6690762, -72.952592 -39.6696245)"
162097444,False,2,Chacabuco,residential,50,True,61.718,,"LINESTRING (-72.9526236 -39.6690762, -72.9526528 -39.6685691, -72.9526555 -39.6685217)"
162097451,False,2,Los Notros,residential,50,False,120.31400000000001,,"LINESTRING (-72.9526236 -39.6690762, -72.9526869 -39.6690777, -72.953979 -39.6691084, -72.9540286 -39.6691096)"
162097447,False,1,Quesquechan,living_street,30,False,56.958,,"LINESTRING (-72.9504097 -39.6677836, -72.9498024 -39.6675742)"
162097447,False,1,Quesquechan,living_street,30,True,24.347,,"LINESTRING (-72.9504097 -39.6677836, -72.9506693 -39.6678731)"
162097446,False,1,Lautaro,living_street,30,False,41.113,,"LINESTRING (-72.9504097 -39.6677836, -72.9505882 -39.6674859, -72.950611 -39.6674479)"
84198381,False,2,Balmaceda,residential,50,False,114.63700000000001,,"LINESTRING (-72.9522134 -39.6641861, -72.9521861 -39.6642588, -72.9521727 -39.6642937, -72.9518496 -39.6651361, -72.9518348 -39.665175)"
"[788295348, 84198390]",False,2,"['Chacabuco', 'Castel Blanco']",tertiary,50,False,159.583,,"LINESTRING (-72.9522134 -39.6641861, -72.9522839 -39.664185, -72.9527278 -39.6641859, -72.9527628 -39.664192, -72.9527953 -39.6642037, -72.9528238 -39.6642205, -72.9528495 -39.6642447, -72.9528668 -39.664273, -72.9528746 -39.6643036, -72.9528719 -39.6647795, -72.9528574 -39.6650955, -72.9528557 -39.6651324, -72.9528536 -39.6651659)"
84198390,False,2,Castel Blanco,tertiary,50,True,106.29500000000002,,"LINESTRING (-72.9522134 -39.6641861, -72.9521371 -39.6641861, -72.9510641 -39.664186, -72.951028 -39.6641857, -72.9509716 -39.6641852)"
162097447,False,1,Quesquechan,living_street,30,False,24.347,,"LINESTRING (-72.9506693 -39.6678731, -72.9504097 -39.6677836)"
162097639,False,1,Los Canelos,living_street,30,False,73.248,,"LINESTRING (-72.9521063 -39.6691651, -72.9521607 -39.6685526, -72.9521647 -39.6685079)"
162097640,False,1,Chandue,unclassified,50,False,298.572,,"LINESTRING (-72.9547696 -39.6704496, -72.954951 -39.6702077, -72.9540842 -39.6680015, -72.9540462 -39.6679049)"
84198379,False,2,El Maitén,residential,50,False,29.848,,"LINESTRING (-72.9521647 -39.6685079, -72.9518162 -39.6684982)"
84198379,False,2,El Maitén,residential,50,True,42.037,,"LINESTRING (-72.9521647 -39.6685079, -72.9525999 -39.6685201, -72.9526555 -39.6685217)"
162097639,False,1,Los Canelos,living_street,30,True,73.248,,"LINESTRING (-72.9521647 -39.6685079, -72.9521607 -39.6685526, -72.9521063 -39.6691651)"
162097448,False,2,Darío Salas,residential,50,False,32.32,,"LINESTRING (-72.9540462 -39.6679049, -72.9540587 -39.6676144)"
162097448,False,2,Darío Salas,residential,50,True,72.873,,"LINESTRING (-72.9540462 -39.6679049, -72.9540343 -39.6685602)"
162097640,False,1,Chandue,unclassified,50,True,298.572,,"LINESTRING (-72.9540462 -39.6679049, -72.9540842 -39.6680015, -72.954951 -39.6702077, -72.9547696 -39.6704496)"
162097445,False,2,Juan Verdaguer,tertiary,50,False,35.322,,"LINESTRING (-72.9489198 -39.6618969, -72.9492777 -39.662055)"
162097445,False,2,Juan Verdaguer,tertiary,50,True,33.573,,"LINESTRING (-72.9489198 -39.6618969, -72.9485798 -39.6617464)"
162097795,False,1,Germán Fehlandt,living_street,30,False,89.38199999999999,,"LINESTRING (-72.9489198 -39.6618969, -72.9488933 -39.661935, -72.9484273 -39.6626057)"
162097795,False,1,Germán Fehlandt,living_street,30,True,89.38199999999999,,"LINESTRING (-72.9484273 -39.6626057, -72.9488933 -39.661935, -72.9489198 -39.6618969)"
162097445,False,2,Juan Verdaguer,tertiary,50,True,35.322,,"LINESTRING (-72.9492777 -39.662055, -72.9489198 -39.6618969)"
162097445,False,2,Juan Verdaguer,tertiary,50,False,101.69,,"LINESTRING (-72.9492777 -39.662055, -72.9501742 -39.6624523, -72.9502237 -39.6624742, -72.9503073 -39.6625112)"
162097798,False,1,Maximiliano Lara,living_street,30,False,136.43200000000002,,"LINESTRING (-72.9492777 -39.662055, -72.949249 -39.6620954, -72.9485132 -39.6631316)"
162097798,False,1,Maximiliano Lara,living_street,30,True,136.43200000000002,,"LINESTRING (-72.9485132 -39.6631316, -72.949249 -39.6620954, -72.9492777 -39.662055)"
337183290,False,2,Ruta T-34,primary,50,True,70.445,T-34,"LINESTRING (-72.9576409 -39.6625919, -72.9571277 -39.6624024, -72.9568989 -39.6623179)"
361417774,False,2,Arturo Prat,residential,50,True,79.964,,"LINESTRING (-72.9514604 -39.6623206, -72.9515831 -39.6616077)"
