osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,bridge
275382435,True,2,Manuel Antonio Matta,primary,False,71.746,"LINESTRING (-73.0055832 -41.2580419, -73.0051377 -41.2585934)",50,,
280903479,True,2,Valdivieso,secondary,False,67.967,"LINESTRING (-73.0055832 -41.2580419, -73.0048868 -41.2577264)",50,V-401,
275382436,False,2,Valdivieso,secondary,True,120.48499999999999,"LINESTRING (-73.0055832 -41.2580419, -73.0060906 -41.2582672, -73.0068243 -41.2585929)",50,V-401,
527378138,True,2,Errázuriz,residential,False,121.996,"LINESTRING (-73.0060039 -41.2575045, -73.0072539 -41.2580708)",50,,
178319141,True,2,Manuel Antonio Matta,primary,False,69.336,"LINESTRING (-73.0060039 -41.2575045, -73.0057708 -41.2578023, -73.0055832 -41.2580419)",50,,
362320532,False,2,Errázuriz,residential,False,226.45,"LINESTRING (-73.0072539 -41.2580708, -73.009463 -41.2592496)",50,,
65945061,False,2,Luis Modinger,residential,False,68.263,"LINESTRING (-73.0072539 -41.2580708, -73.0071074 -41.2582489, -73.0068243 -41.2585929)",50,,
"[65945061, 941626255]",False,2,Luis Modinger,residential,True,211.10500000000002,"LINESTRING (-73.0072539 -41.2580708, -73.0078677 -41.2573251, -73.0080134 -41.2571077, -73.0081695 -41.2567692, -73.0081949 -41.2566703, -73.0081893 -41.2565967, -73.0081288 -41.2563555)",50,,
65945076,False,,Manuel Antonio Matta,residential,True,86.318,"LINESTRING (-73.0042759 -41.2596603, -73.0037494 -41.2603281)",,,
528272682,True,,Candelaria,primary,False,65.424,"LINESTRING (-73.0042759 -41.2596603, -73.0036145 -41.2593457)",,,
1098296832,False,2,Candelaria,residential,False,118.706,"LINESTRING (-73.0042759 -41.2596603, -73.0054815 -41.2602245)",50,,
65945061,False,2,Luis Modinger,residential,False,48.61,"LINESTRING (-73.0049334 -41.2608903, -73.0046275 -41.2612621)",50,,
65945061,False,2,Luis Modinger,residential,True,87.063,"LINESTRING (-73.0049334 -41.2608903, -73.0054815 -41.2602245)",50,,
65950275,False,2,Carlos Kinast Unzueta,residential,False,117.058,"LINESTRING (-73.0049334 -41.2608903, -73.0037494 -41.2603281)",50,,
65945076,False,,Manuel Antonio Matta,residential,False,86.318,"LINESTRING (-73.0037494 -41.2603281, -73.0042759 -41.2596603)",,,
65945076,False,,Manuel Antonio Matta,residential,True,46.93,"LINESTRING (-73.0037494 -41.2603281, -73.0034632 -41.2606912)",,,
65950275,False,2,Carlos Kinast Unzueta,residential,True,117.058,"LINESTRING (-73.0037494 -41.2603281, -73.0049334 -41.2608903)",50,,
65945039,False,,Río Maullín,residential,False,116.194,"LINESTRING (-73.0034632 -41.2606912, -73.0046275 -41.2612621)",,,
65945076,False,,Manuel Antonio Matta,residential,False,46.93,"LINESTRING (-73.0034632 -41.2606912, -73.0037494 -41.2603281)",,,
652135603,False,,Río Maullín,residential,False,90.46200000000002,"LINESTRING (-73.0034632 -41.2606912, -73.0031279 -41.2604521, -73.0030093 -41.2603857, -73.0029896 -41.2603613, -73.0029811 -41.2603381, -73.002996 -41.2602993, -73.0030891 -41.2601675, -73.0031001 -41.2601377, -73.0030992 -41.2601104, -73.0030751 -41.260059)",,,
373430345,False,,Presidente Jorge Alessandri,residential,True,47.120999999999995,"LINESTRING (-73.000978 -41.2613953, -73.0010487 -41.2613897, -73.0011311 -41.261399, -73.0015113 -41.261513)",,,
483104670,False,,,unclassified,True,138.536,"LINESTRING (-73.000978 -41.2613953, -73.000978 -41.2613277, -73.0009884 -41.261263, -73.0011249 -41.2610193, -73.0011258 -41.2609472, -73.0011088 -41.2609024, -73.000888 -41.2608238, -73.0001865 -41.2606809)",,,
1098296833,False,2,O'Higgins,residential,True,40.747,"LINESTRING (-73.0040393 -41.2580846, -73.004454 -41.2582772)",50,,
65950273,False,,Candelaria,residential,False,43.257,"LINESTRING (-73.0031704 -41.259146, -73.0036145 -41.2593457)",,,
